Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
0,305632,333958,434554
1,297572,336797,445300
2,298623,332152,442334
3,307184,332535,431466
4,299223,339896,427104
5,298142,324030,436995
6,298375,334791,433564
7,297332,327431,418083
8,289114,320820,429965
9,295130,340984,466353
10,339930,394584,437505
11,299756,338687,435046
12,296700,327379,488059
13,323392,334932,425270
14,295965,329685,429135
15,301313,330953,430200
16,296428,335130,427724
17,298804,331195,434794
18,300092,319499,430007
19,308811,335243,427343
20,302636,333149,440479
21,309643,345180,437635
22,304935,325508,423324
23,303441,340626,427881
24,290778,323293,416733
25,305981,326276,421962
26,298846,325752,428584
27,295243,329502,461472
28,293471,338080,422072
29,292946,322349,431842
30,311973,336319,426819
31,297533,338734,418767
32,297710,325611,416769
33,291829,325107,421243
34,301246,327824,424448
35,291419,323432,420773
36,300576,359728,430075
37,296740,329745,451518
38,294555,327921,431268
39,298037,333935,421863
40,291075,324553,420910
41,298000,321944,422169
42,286365,326717,428285
43,298041,316414,420847
44,300773,324677,417644
45,322860,342363,426452
46,291671,324585,422022
47,299673,327409,420267
48,289605,328691,422602
49,297019,323592,430177
50,311031,323380,443399
51,292411,346286,417506
52,290764,322786,430037
53,293792,331549,442492
54,302662,335765,433924
55,307141,334464,443973
56,287712,322599,421189
57,292491,339576,426947
58,291025,325851,431238
59,287377,326271,437894
60,308566,324223,426768
61,296498,332987,427475
62,299518,348522,481521
63,306972,343598,439947
64,297351,417243,496359
65,303060,330196,452044
66,309326,328533,435608
67,304619,330336,439128
68,300664,334769,427916
69,309314,331092,434008
70,313041,341685,460832
71,297674,329533,431555
72,299150,339450,421895
73,301418,323646,427642
74,304689,319515,435626
75,304985,336848,440538
76,302341,343965,429810
77,301494,339527,481548
78,316310,331923,467106
79,355198,336557,436413
80,307225,358412,442930
81,330763,341526,433157
82,304043,336418,443798
83,303024,342117,433587
84,302963,336439,427921
85,307262,339018,428190
86,298941,333778,475969
87,319184,353980,441147
88,310293,337161,421175
89,294994,329383,420724
90,381057,331471,448673
91,310376,349216,435691
92,304786,334459,430225
93,313649,345983,453743
94,322137,371475,443733
95,307568,360448,482527
96,303190,330018,424317
97,307719,328394,423780
98,294032,331949,434107
99,298609,327148,433581
100,299132,350279,434384
101,298828,340287,430370
102,304188,330094,421953
103,299163,330412,436518
104,305493,347700,426475
105,302190,329093,438857
106,307027,342656,438191
107,298888,337091,445015
108,305742,333950,434340
109,310853,337863,423651
110,293443,328882,429873
111,356570,344651,423840
112,303067,367215,490816
113,299125,332194,435481
114,294202,323760,422503
115,287819,328812,432886
116,396432,370291,436383
117,314577,343178,435038
118,317007,381636,469013
119,305853,351806,446022
120,298929,329206,450760
121,336352,327801,436217
122,300914,394194,469357
123,311056,339776,433475
124,300775,324364,425950
125,291090,330697,429579
126,289737,330159,422174
127,300298,337913,446624
128,302475,320056,550354
129,338366,377915,431144
130,297873,322227,432168
131,288419,320793,500742
132,333233,336946,444591
133,303408,338074,448702
134,302216,345702,451032
135,308023,347130,439472
136,308325,338157,435303
137,301924,359964,461413
138,299423,334840,433566
139,320553,333671,433850
140,306503,336720,443604
141,319277,330334,433897
142,294129,346850,433295
143,308307,345880,435151
144,297711,324854,440191
145,332775,353781,496465
146,511742,392693,433621
147,313265,339543,430905
148,303566,335080,443757
149,304990,347895,426248
150,313854,330539,426360
151,295225,325825,433653
152,294742,329997,425296
153,298712,341195,432074
154,300682,334050,437741
155,294055,333870,433468
156,302595,334546,424916
157,296447,329777,436230
158,297631,435069,433955
159,450942,445463,509508
160,296363,341815,429973
161,299168,344582,432251
162,291272,330972,433609
163,292095,336318,423056
164,302936,326298,416998
165,293329,323654,421861
166,318013,350901,437988
167,300833,342070,451725
168,301497,338032,434902
169,301164,332811,437657
170,304071,340654,429602
171,311908,326605,435922
172,302007,329080,431861
173,301942,332607,427634
174,298908,326643,421728
175,305802,330070,430819
