Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
0,645428,60950,440867
1,567642,58577,443151
2,576458,61476,440846
3,575170,66231,453728
4,573640,60038,428435
5,582124,60834,424650
6,578994,58530,425854
7,580685,57995,422942
8,569921,58873,435602
9,583688,58249,424930
10,581670,56914,439723
11,560072,56510,439039
12,583130,59256,437729
13,616653,59722,429624
14,568306,61588,418397
15,572585,57099,416884
16,556707,56911,430076
17,561972,59411,423487
18,572728,58923,434134
19,571587,57808,438510
20,586786,58497,428615
21,594245,57458,437044
22,576019,58021,438471
23,562213,65169,424399
24,571402,60701,463023
25,576796,57494,418246
26,550278,56658,426253
27,568556,58479,449915
28,582869,59897,424449
29,582760,60154,438892
30,587548,61045,424496
31,589450,61369,474888
32,625460,59681,438761
33,606629,59887,449914
34,570079,56702,438237
35,589831,59224,428869
36,587988,58089,441345
37,570989,58309,430198
38,584713,57153,425495
39,580188,58768,431297
40,577691,66932,439288
41,625095,60093,443591
42,587117,59662,448424
43,592246,59510,440029
44,582384,58935,424666
45,572551,58852,434561
46,570123,59951,429031
47,566058,58304,433951
48,574901,57478,428548
49,583896,60233,427377
50,583137,76234,430470
51,580874,60103,452496
52,574174,59822,429149
53,582348,62560,436835
54,579180,58742,441059
55,589222,61018,437855
56,581980,59682,454417
57,589116,58191,417530
58,576794,56600,431359
59,574322,60678,451726
60,568149,57928,417948
61,564417,56900,431273
62,566334,60106,425950
63,586250,65712,426459
64,562431,58692,426662
65,561666,57428,434690
66,571845,56714,443268
67,562889,59462,429165
68,573168,59745,430874
69,587469,57137,436591
70,564003,58102,416816
71,569882,67267,440466
72,578474,58571,435811
73,572328,58590,423178
74,569441,59742,431748
75,568181,57767,427818
76,578663,59628,430986
77,561494,57390,417524
78,563467,59332,448878
79,598919,58023,428532
80,566576,59926,421765
81,574233,59232,430068
82,565967,59421,424168
83,581598,57674,425275
84,570535,60012,448158
85,570505,59075,428246
86,581612,67374,427445
87,563833,58428,429625
88,592462,59094,419055
89,573712,59090,431517
90,564121,58865,429774
91,572889,59229,425054
92,576571,58458,429846
93,572801,58515,423372
94,557379,55364,423792
95,575738,57056,425488
96,565704,59669,430339
97,578129,58651,434859
98,576515,65809,428331
99,559530,58229,416066
100,562730,57862,424241
101,554574,56249,416701
102,576885,58340,426579
103,577165,59202,439210
104,574931,56062,428996
105,565757,57598,430523
106,603124,63759,430965
107,571149,58733,429880
108,581509,57210,434478
109,562941,56580,419030
110,558508,68292,422368
111,548426,58087,420628
112,625137,61124,427707
113,597171,60680,482921
114,574398,59755,430790
115,574543,58900,432670
116,572865,58720,421476
117,575098,57822,423670
118,566777,56386,433926
119,563897,58587,418416
120,559323,59673,428039
121,562510,57450,437508
122,575558,56918,419644
123,552613,56591,418422
124,569697,58603,416442
125,563662,57798,423857
126,557745,58481,424474
127,567037,68747,428289
128,561589,56923,478036
129,587316,58728,431095
130,582639,61773,425603
131,570636,59692,429834
132,573388,59431,428477
133,611580,58976,445623
134,597280,60094,440212
135,577031,64638,428626
136,581084,58112,428462
137,578083,58564,423060
138,552460,57332,429224
139,564150,58721,429337
140,576126,64781,445856
141,578382,57167,431037
142,577695,58393,418977
143,561179,58233,424969
144,601917,60625,430193
145,579580,57067,434321
146,578967,58942,435468
147,551335,57094,446587
148,568282,57912,431167
149,576532,58780,424564
150,561155,58503,431590
151,586730,57551,434471
152,594341,60257,421820
153,564135,56882,434726
154,581240,56716,455232
155,564195,59014,431826
156,567726,56980,418846
157,565844,58887,429276
158,566049,60160,423532
159,585186,57886,459648
160,560648,57222,430134
161,556861,57236,424987
162,570607,59319,432583
163,584539,59034,420642
164,579500,58432,428573
165,576683,59062,422739
166,569983,59413,421439
167,558513,58926,428532
168,567377,58502,529856
169,586343,58232,426278
170,561896,57196,437201
171,576297,57754,424223
172,573811,60172,437067
173,571935,89882,477621
174,759942,61122,445700
175,577981,58680,444050
176,571101,60787,428602
177,587367,60483,430780
178,578454,56306,427069
179,591972,57720,439786
180,589565,65254,439805
181,574406,58131,440601
182,571640,57049,429792
183,570312,58756,435166
184,568651,60269,435336
185,587447,61635,425765
186,573256,59661,468195
187,575225,61591,428254
188,763441,81146,495960
189,789672,62130,432744
190,626117,60496,421250
191,577077,70149,433167
192,579060,57214,425260
193,577582,58499,430301
194,564017,57437,433700
195,567920,57135,489790
196,581456,58445,457029
197,734445,57783,432768
198,579519,58405,438444
199,569382,58867,441188
200,585016,58312,418759
201,564742,57796,420097
202,621708,59906,523629
203,573282,59626,430192
204,604095,59937,438589
205,561828,58683,439470
206,580799,58470,437840
207,576675,60450,449155
208,591470,61802,439348
209,713494,64131,431177
210,571560,60107,436504
211,584594,57762,432989
212,577603,56769,469425
213,568886,56717,430239
214,575703,58945,425187
215,576235,56999,434240
216,564675,57694,415472
217,684739,63357,456145
218,583302,69557,444667
219,572198,58317,437644
220,577756,59092,427141
221,578278,60209,438393
222,566307,59895,424661
223,579732,58969,437247
224,589236,59352,430416
225,583829,58369,422856
226,565574,58239,433317
227,568359,59574,417533
228,577174,60598,425959
229,555574,58700,425090
230,564484,56526,426488
231,577368,56365,436384
232,635780,61385,420311
233,571132,59563,441121
234,570341,57897,429960
235,571500,59472,426114
236,578099,59699,431565
237,559045,56767,487440
238,593450,60360,437303
239,597994,61121,455111
240,571943,58139,435131
241,578119,59397,425006
242,577015,58416,430260
243,560379,57839,418597
244,561850,56618,438790
245,580654,57100,452827
246,570722,68047,519589
247,740708,61776,562876
248,671869,59967,443349
249,577974,58965,425979
250,585397,58019,427572
251,777067,59716,447702
252,578330,59248,440750
253,571833,60315,426906
254,576000,61076,430278
255,562282,66733,421018
256,570617,58248,417141
257,571604,58562,428151
258,566132,59016,423666
259,567273,58375,436428
260,572685,57350,430688
261,571618,56145,432538
262,590963,58155,420412
263,596403,59067,446411
264,597816,61582,450892
265,718626,64735,441701
266,580068,58669,441178
267,577297,59078,428956
268,574797,57753,437866
269,568670,58818,426761
270,576974,57002,428490
271,582809,57264,440559
272,564552,58322,434910
273,586826,57350,426726
274,570318,57839,421759
275,569593,61569,424007
276,578851,60428,551093
277,706747,143206,450572
278,584889,57314,600264
279,595896,56991,434145
280,597474,59606,442110
281,583442,57550,443769
282,582334,59801,419884
283,566396,59290,435742
284,556179,56773,423607
285,562331,63324,436940
286,573119,56391,429275
287,583851,59861,418227
288,565765,60246,429429
289,565601,58543,427185
290,567052,57094,434726
291,572118,58617,427116
292,698757,61076,425120
293,736894,59380,438215
294,572226,67372,434428
295,569772,57362,413727
296,572555,58751,426880
