Iteration,Payee1_ns,Bank1_ns
0,548434,3099465
1,541397,3070006
2,542708,3052143
3,549927,3047351
4,552008,3102490
5,529959,3053447
6,541010,3017188
7,543156,3049221
8,546925,3187477
9,566167,3107427
10,570004,3120326
11,558025,3064916
12,548930,3120097
13,557454,3110013
14,547676,3091640
15,540852,3132638
16,571827,3226619
17,555374,3059906
18,549731,3108854
19,578586,3048913
20,529793,3201289
21,599365,3090648
22,552973,3030416
23,553815,3095852
24,546553,3073143
25,545092,3051823
26,543802,3145057
27,573047,3034982
28,543058,3045543
29,531964,3192021
30,552873,3396861
31,556780,3064119
32,593219,3078590
33,534127,3146160
34,622942,3266942
35,585461,3142222
36,538245,3061508
37,549601,3128147
38,540326,3089004
39,548673,3125110
40,609257,3064235
41,553799,3015042
42,533492,3092819
43,577883,3081181
44,568047,3084279
45,546374,3089349
46,543405,3182677
47,578742,3234201
48,569143,3132985
49,542812,3088527
50,545732,3101422
51,570863,3144896
52,551980,3058389
53,547231,3066426
54,545296,3061515
55,549912,3149649
56,616896,3246228
57,555907,3148445
58,548723,3049656
59,549445,3188453
60,569690,3249683
61,554469,3102928
62,534454,3140556
63,542250,3067469
64,535602,3423683
65,624462,3167143
66,594327,3114663
67,566206,3064109
68,557856,3061623
69,540652,3082558
70,578830,3254841
71,580416,3103449
72,535316,3060017
73,552774,3115390
74,544792,3040228
75,554211,3045758
76,540213,3024830
77,535980,3063730
78,566562,3097214
79,540888,3097529
80,549440,3095540
81,545056,3134898
82,548435,3041552
83,541325,3069708
84,544891,3034165
85,547036,3035856
86,559236,3069474
87,554688,3140298
88,551581,3070714
89,546133,3051179
90,548556,3157691
91,579250,3140730
92,558003,3086287
93,600092,3071052
94,543526,3304517
95,573315,3098060
96,545943,3095563
97,569216,3143259
98,558265,3080832
99,545814,3034889
100,553705,3103933
101,539066,3039821
102,538737,3098547
103,549451,3062644
104,538825,3034464
105,553796,3101171
106,532415,3056342
107,550788,3040720
108,546644,3079408
109,535793,3011838
110,531628,3088332
111,532885,3032508
112,542728,3158639
113,560695,3065169
114,539453,3063641
115,534411,3029155
116,539523,3199900
117,564383,3112637
118,554307,3095143
119,552285,3039700
120,541030,3053739
121,584052,3253434
122,674316,3098387
123,554660,3075470
124,521672,3032148
125,540287,3120296
126,551011,3320654
127,573601,3083620
128,538704,3080550
129,541085,3076903
130,552773,3060453
131,534576,3077792
132,549076,3113752
133,551135,3118795
134,555019,3138756
135,545638,3024993
136,532055,3065390
137,551496,3042770
138,540343,3227706
139,613306,3035927
140,537487,3063488
141,544055,3098150
142,563323,3169974
143,593918,3210727
144,545101,3051684
145,536153,3073399
146,546962,3014089
147,538204,3280885
148,566440,3113063
149,545616,3140070
150,537955,3038082
151,712772,3399701
152,560561,3121150
153,537402,3020010
154,548374,3080860
155,545058,3685227
156,631589,3344783
157,572046,3100337
158,561047,3057937
159,555104,3069819
160,546838,3100082
161,609263,3292532
162,549193,3102015
163,547571,3054502
164,532092,3318526
165,599841,3114498
166,545826,3062089
167,558032,3042714
168,562955,3205461
169,711590,3090044
170,551604,3088059
171,556319,3120452
172,541242,3197687
173,561566,3292655
174,558806,3043848
175,557418,3127981
176,554904,3056346
177,637980,3236890
178,552504,3045455
179,550916,3034061
180,539704,3062955
181,544327,3267072
182,551639,3090404
183,548868,3040618
184,528754,3055076
185,539660,3132186
186,609383,3246224
187,563345,3046612
188,542569,3043088
189,525102,3031159
190,530447,3538463
191,573486,3110920
192,542241,3091390
193,547394,3032568
194,547628,3334360
195,592022,3110598
196,593590,3101924
197,554483,3073893
198,551227,3075404
199,553445,3021568
200,546146,3081347
201,538082,3044415
202,533629,3048811
203,551263,3108260
204,539753,3081912
205,540391,3089601
206,546897,3052636
207,536841,3109503
208,537117,3071177
209,549115,3062239
210,532324,3082012
211,540635,3051282
212,558226,3084303
213,539290,3032306
214,542210,3096754
215,542264,3033002
216,537699,3214022
217,557449,3085054
218,557376,3053816
219,530979,3134911
220,551611,3250904
221,548487,3065831
222,547248,3078345
223,547609,3060298
224,524851,3062517
225,552100,3258091
226,575669,3130281
227,544161,3184902
228,575037,3044362
229,554991,3031451
230,545955,3067389
231,530266,3076553
232,546090,3039092
233,546458,3081257
234,563176,3022524
235,548200,3206778
236,557581,3085784
237,544198,3134395
238,540728,3042438
239,545304,3076991
240,569201,3096982
241,553178,3085520
242,559395,3336994
243,607228,3140757
244,541150,3102725
245,542031,3100260
246,591558,3459871
247,730571,3249868
248,568264,3097976
249,564354,3125281
250,561173,3156152
251,686723,3936666
252,670703,3187321
253,563806,3082117
254,559173,3097284
255,561517,3401521
