Iteration,Payee_ns,Bank_ns
0,2867032,11799412
1,2726299,11465358
2,2647512,10538562
3,2754825,10038676
4,2715963,10386265
5,2692177,10171920
6,2876865,10510934
7,2705465,10158629
8,2696437,10230664
9,2769773,10531156
10,2672070,10076989
11,2898178,10174986
12,2653281,10687517
13,2706408,10470898
14,2680758,10062857
15,2696605,9991987
16,2728300,10028791
17,2941189,10915381
18,2687290,10745092
19,2663298,10956418
20,3359077,10541836
21,2704025,10785277
22,2722978,10602889
23,2720116,11791603
24,2685407,10613386
25,2669179,12059035
26,2876441,10587317
27,2958708,10306748
28,2713175,10827101
29,2724401,11750017
30,2650512,11015374
31,2765519,10899113
32,2800898,11171074
33,2723528,10327814
34,2694326,9835610
35,2517618,9589911
36,2571415,9558800
37,2499818,9485909
38,2453465,10075307
39,2956151,9535471
40,2470339,9507630
41,2485744,9387604
42,2472342,9761025
43,2520290,10405959
44,2702614,9592842
45,2582728,9484705
46,2472076,9394153
47,2489622,9516407
48,2462780,9424917
49,2494104,9520066
50,2509627,9456619
51,2460929,9369236
52,2436896,9374397
53,2491138,9437786
54,2444907,10070512
55,2487995,9685683
56,2541359,9295812
57,2499911,9156620
58,2448350,9208640
59,2490239,9228602
60,2502445,9279825
61,2423889,9387522
62,2473023,9648457
63,2448870,9150736
64,2491763,9180077
65,2492153,9226324
66,2484337,9303858
67,2536306,9358475
68,2579467,9398963
69,2486589,13269173
70,2458358,17057040
71,2612830,9558667
72,2475232,9244647
73,2640323,9968117
74,2511885,12001058
75,2413920,9277215
76,2469720,9590669
77,2517969,10615535
78,2507899,9628937
79,2457768,9213479
80,2449416,10331979
81,2482168,9768535
82,2459483,9390945
83,2524266,9508703
84,2448844,9459454
85,2694431,9686216
86,2452688,9942968
87,2695384,9152445
88,2514660,9544405
89,2424435,9156208
90,2532808,10006518
91,2530149,9240750
92,2498860,9805892
93,4145903,10598577
94,2429868,9684461
95,2495098,9247873
96,2482918,9218019
97,2518394,9436972
98,2471214,9355896
99,2525118,9536802
100,2443295,9419043
101,2784088,9392205
102,2450357,9382940
103,2472029,9389193
104,2478352,9176497
105,2656117,9296929
106,2556070,9545696
107,2478609,9540907
108,2456480,9403203
109,2507213,9623122
110,2648075,9469328
111,2444812,9312986
112,2463919,9316984
113,2418649,9280974
114,2545872,9557316
115,2529739,9195896
116,2736546,9432041
117,2477084,9404195
118,2487506,9521949
119,2484130,10480150
120,2425467,9328745
121,2600491,9372616
122,2512952,9750196
123,2488825,9649446
124,2481863,9524236
125,2546341,9258262
126,2495993,9344106
127,2531410,9314694
128,2486189,10244303
129,2506899,9418063
130,2463618,9221034
131,2662908,9495306
132,2428851,9458104
133,2461220,9751253
134,2473231,10770760
135,2496313,9613586
136,2499469,15940167
137,2534866,9295491
138,2469249,9660887
139,2478712,9301958
140,2423292,9443111
141,2461425,9179635
142,2449260,9086150
143,2499376,9764918
144,2497254,9583683
145,2506728,9594321
146,2491020,9303364
147,2476254,9143428
148,2448525,9113697
149,2503892,9210794
150,2470400,9170743
151,2476495,9122170
152,2499220,9144593
153,2482880,9178077
154,2475753,9185243
155,2468876,9126303
156,2483633,9185385
157,2541336,9123656
158,2445914,9195890
159,2441429,9165717
160,2634026,9492757
161,2452125,9167980
162,2513823,9529311
163,2448395,10348725
164,2468652,9662694
165,2481440,9710218
166,2518105,9444089
167,2535175,9473832
168,2532416,9567640
169,2768723,9511238
170,2473353,9462056
171,2470101,9599880
172,2477172,9491781
173,2537333,9532439
174,2507385,9425027
175,2571980,9660292
176,2488724,10673873
177,2508643,9642064
178,2561515,9576355
179,2725306,9839581
180,2455966,10664575
181,2456571,9505604
182,2709763,9651743
183,2504951,11560745
184,2513405,10252363
185,2499961,9106902
186,2513769,9252503
187,2483284,9421755
188,2494862,10283797
189,2499672,9140868
190,2464831,9216552
191,2554963,9154857
192,2493604,9226775
193,2522239,9265225
194,2446417,9167281
195,2491378,9226349
196,2448619,9181226
197,2444416,9255167
198,2484626,9134573
199,2462732,9302295
200,2494863,10136089
201,2474399,9049503
202,2462443,9497674
203,2515863,9458502
204,2436240,9359816
205,2502221,9437605
206,2439878,9226569
207,2633216,9322142
208,2506084,9328865
209,2488532,11341636
210,2466602,9448204
211,2479972,9524279
212,2546603,9427583
213,2495008,9257386
214,2553789,9262570
215,2464125,9396201
216,2532848,9387079
217,2499388,9487516
218,2497461,9239650
219,2462044,9349563
220,2473897,9217425
221,2492936,9282678
222,2489683,9294742
223,2487783,10472713
224,2479928,10492503
225,3098540,9985096
226,2813353,9613946
227,2466907,10694128
228,2482767,9481336
229,2947412,9766398
230,2520636,9868414
231,2548825,10167832
232,2730862,9862976
233,2769618,9712818
234,3301513,9854716
235,3383874,11378883
236,3152002,9629318
237,2711502,9956773
238,2501467,9448756
239,2486827,9631586
240,2516353,10047363
241,2504206,9174012
242,2665307,9347526
243,2460704,9233650
244,2449765,9459716
245,2454332,9286904
246,2467733,10146036
247,2756232,9279647
248,2462936,9321053
249,2473716,9312321
250,2473958,10076770
251,2786074,9633322
252,2479793,9702031
253,2465912,9259241
254,2666997,9664197
255,2530191,9596901
256,2532048,9294568
257,2465265,9342128
258,2463368,9393491
259,2480349,9689640
260,2432519,9559306
261,2513491,10847278
262,2489208,9424628
263,2732033,9302737
264,2491673,9411844
265,2456173,9260174
266,2520916,9354331
267,2522077,9162029
268,2587975,9563840
269,2477701,9239874
270,2455232,12620842
271,2483466,9348003
272,2432125,9382523
273,2438840,9444424
274,2489412,9330284
275,2514433,9292790
