Iteration,Payee1_ns,Payer_ns,Payee2_ns
0,1973558,4431429,2548094
1,1987145,4431275,2506391
2,1974745,4425052,2530915
3,1958251,4364055,2471534
4,2075580,4530642,2539086
5,1948324,4372759,2464123
6,1930595,4503220,2505785
7,2054439,4576716,2453244
8,1976104,4477405,2524304
9,2004714,4429419,2431536
10,1923856,4458106,2640724
11,2036597,4472580,2477807
12,1958811,4646104,2481632
13,1955965,4412184,2517864
14,2044069,4438225,2434982
15,1950620,4581494,2499730
16,1985730,4451318,2505764
17,1956293,4535580,2634707
18,1959387,4478351,2565156
19,1950046,4750664,2519470
20,1941213,4383881,2501936
21,1890261,4726019,2481785
22,1968433,4385065,2442003
23,2220313,4635516,2436783
24,1945688,4331949,2635377
25,1974347,4873418,2512185
26,1948404,4627975,2710194
27,2085122,4579771,2473386
28,1980801,4515954,2639527
29,2156780,4571885,2477028
30,2192428,4477690,2477942
31,1947052,4480740,2485593
32,1931686,4350824,2483879
33,1910810,4386281,2434107
34,1924291,4409589,2411445
35,1958325,4391011,2450117
36,2013211,4404781,2461449
37,1909263,4493065,2386783
38,1911686,4396239,2411846
39,2000825,4443248,2458507
40,1892903,4397131,2692111
41,1957966,4482178,2539314
42,1916607,4522230,2495065
43,1999606,4347856,2486948
44,1991854,4614653,2483748
45,2107530,4518886,2510567
46,1977179,4814362,2421863
47,1903360,4348427,2447139
48,2259943,4655362,2531255
49,1958716,4415469,2558442
50,1968311,4411195,2465620
51,1927893,4392641,2457095
52,2129298,4520164,2457397
53,2015093,4488201,2421842
54,1948174,4408648,2469283
55,2002113,4716500,2434999
56,1947211,4506505,2557035
57,2105258,4454926,2473583
58,1954771,4456722,2498033
59,1964828,4416823,2433290
60,1943375,4429248,2437016
61,1930560,4382413,2537919
62,1979549,4527900,2664690
63,2069395,4540814,2491857
64,2024854,4569299,2521056
65,1971672,4484230,2538194
66,1948953,4498428,2429769
67,1897082,4379306,2468506
68,1952947,4769175,2508486
69,1983493,4555588,2496667
70,1977369,4380051,2482989
71,2053363,4463367,2451302
72,1943603,4395305,2487639
73,1997956,4444488,2468764
74,1924218,4550889,2720659
75,2138062,4481638,2478094
76,1952155,4459746,2511390
77,1959671,4538548,2466700
78,1998930,4557918,2497344
79,2023578,4488879,2483358
80,2100542,4384068,2485336
81,1916906,4392128,2568220
82,1918554,4324834,2445002
83,1969973,4543589,2479431
84,1973992,4499659,2477195
85,1935049,4473434,2468999
86,1926582,4381980,2451746
87,1938901,4597095,2459834
88,1940317,4494671,2493334
89,1974935,4433186,2453467
90,1976379,4402579,2693956
91,2155082,4461315,2568441
92,1980610,4560938,2555301
93,1998032,4431131,2514599
94,1899691,4429363,2469892
95,2055835,4441232,2503272
96,1951654,4607948,2481446
97,1992175,4428262,2423389
98,1951094,4508424,2463513
99,1965937,4389692,3022545
100,1973522,4454039,2449233
101,1912482,4410623,2469018
102,1919257,4460111,2380256
103,1935016,4512486,2465749
104,1910315,4386111,2533739
105,1943201,4432009,2492335
106,1930352,4410380,2455733
107,1952830,4383206,2416213
108,1948091,4555925,2877296
109,1991500,4478764,2519109
110,2037520,4862101,2525574
111,2096830,4412260,2420136
112,1943191,4887791,2501319
113,2003378,4457494,2441601
114,2059855,4595165,2425532
115,1987990,4448063,2768300
116,1922880,4482836,2518100
117,1938129,4506561,2416545
118,1939459,4422668,2513583
119,1941947,4524083,2526670
120,2011527,4493290,2503204
121,1985716,4491792,2532906
122,2019229,4505246,2639238
123,1931346,4455919,2431601
124,1930522,4397473,2916051
125,1944876,4415241,2482361
126,1933993,4536238,2666694
127,1961662,4446059,2508269
128,1951928,4573184,2548439
129,1979180,4512763,2472750
130,2048308,4471033,2611926
131,1981652,4410901,2544448
132,1996753,4535262,2468943
133,2014582,4415957,2464315
134,1959849,4415113,2589121
135,2037990,4750678,2524276
136,1977435,4480834,2432980
137,1962900,4509379,2435244
138,1959372,4436410,2528832
139,2065658,4538279,2623764
140,1955798,4570414,2713092
141,1982486,4557973,2538049
142,2006393,4579888,2668835
143,1999857,4394865,2432478
144,2099995,4502164,2546405
145,2008874,4520220,2571337
146,1948036,4606833,2522010
147,1943252,4498119,2524440
148,1934601,4541289,2460580
149,1935397,4352671,2577248
150,1990482,4427390,2521099
151,1921419,4520484,2474000
152,2011227,4492225,2443740
153,2024477,4418092,2455184
154,1995736,4636134,2534802
155,1919961,4392116,2381541
156,1969286,4421824,2429891
157,1959865,4341232,2485114
158,1920667,4705171,2531622
159,1962245,4421969,2541014
160,1966240,4503969,2441665
161,1963316,4414115,2448221
162,1943320,4512043,2470038
163,1969914,4429573,2470707
164,1979498,4507599,2470356
165,2034053,4554054,2454323
166,1913975,4403187,2537361
167,1981147,4641980,2556537
168,1952391,4630869,2463159
169,2104849,4462506,2489905
170,2017210,4409038,2577381
171,1991546,4444924,2431156
172,1962788,4383330,2704832
173,2052459,4617056,2448150
174,2009502,4402057,2756977
175,2019936,4563259,2450944
176,2009338,4740721,2741341
177,2026049,4377176,2428568
178,1969498,4427373,2472081
179,1977717,4414430,2467026
180,1906418,4467061,2479917
181,1925305,4767725,2677364
182,2099197,4408564,2443017
183,1924094,4617167,2559252
184,2037971,4666599,2448405
185,2093650,4453370,2472321
186,1937057,4506773,2620754
187,1961282,4517861,2505061
188,1984026,4418947,2498103
189,1936675,4486599,2520916
190,2262818,4801418,2510808
191,2007059,4533718,2403446
192,2009263,4392570,2454851
193,1966161,4422716,2420899
194,1954488,4579709,2467525
195,2016591,4446866,2458472
196,1971728,4497234,2668679
197,1947756,4427304,2470697
198,1937564,4665777,2451387
199,1937026,4435074,2483572
200,2084725,4341540,2485556
201,1905873,4494809,2417756
202,1934254,4418331,2500066
203,1950430,4381451,2469615
204,1931322,4373565,2858751
205,2025977,4478490,2406669
206,1955919,4548594,2570720
207,1955835,4415949,2514515
208,1928268,4954587,2489891
209,1944951,4538198,2475371
210,2226550,4696692,2516665
211,1970439,4465684,2467026
212,1962675,4461883,2419012
213,1971372,4448468,2662267
214,1942339,4400863,2505693
215,1931399,4434613,2441829
216,1898695,4451126,2502098
217,1952357,4398950,2412610
218,1923954,4488679,2490396
219,1919715,4467191,2422241
220,1929097,4339588,2453153
221,1954621,4344147,2431431
222,1961491,4521268,2513288
223,1951739,4414036,2443935
224,1955632,4582372,2501391
225,2035456,4569620,2415263
226,1996963,4597135,2496816
227,1974325,4438675,2509797
228,2022009,4610162,2519446
229,1969628,4350134,2460377
230,2114119,4406739,2405292
231,1989809,4428672,2463655
232,1910903,4440309,2471705
233,1931728,4411312,2412991
234,1930834,4539425,2515628
235,2290049,4818706,2467502
236,1972013,4526790,2977613
237,1989027,4487804,2537914
238,1986403,4660398,2495773
239,2004239,4369997,2501294
240,1950180,4788725,2447877
241,2180418,4456553,2441370
242,2143190,4377157,2454310
243,1950849,4385723,2435954
244,1995850,4573083,2465992
245,1910329,4388308,2474434
246,1945896,4521012,2527633
247,1958196,4482297,2483087
248,1940954,4422921,2490802
249,1941423,4395484,2453314
250,1960484,4389301,2478535
251,2252773,4551094,2523654
252,1996994,4584092,2477584
253,1955516,4464575,2461528
254,1935778,4625905,2605802
255,1960136,4426390,2570119
256,2005455,4644858,2448860
257,1951878,4467385,2558311
258,1992904,4527026,2442114
259,1981841,4342014,2508362
260,2226302,4504866,2409512
261,1943977,4559873,2552750
262,2006133,4448187,2470120
263,1923051,4357945,2493713
264,1950450,4539978,2484520
265,1963922,4530119,2470701
266,1911753,4405462,2445507
267,1987046,4362148,2502963
268,1977376,4386509,2442157
269,2003576,4493910,2455046
270,1955206,4444727,2464893
271,1942370,4390551,2521689
272,1981428,4432579,2465852
273,2008403,4478330,2502286
274,1943911,4416073,2458501
275,1962336,4395735,2458462
276,1941713,4381563,2505504
277,1926944,4387096,2435626
278,2020051,4447230,2400715
279,1976169,4346953,2493088
280,1998541,4378145,2501511
281,1955032,5120791,2731931
282,1976933,4544568,2481907
283,2062653,4465301,2433175
284,1985178,4409826,2410910
285,1982923,4888878,2610759
286,2021725,4478848,2459213
287,1948322,4469289,3046972
288,2220008,4542918,2494797
289,2194755,4717597,2531518
290,2091362,4595983,2493481
291,2338626,5244150,2870139
292,1986230,4436533,2716801
293,2060171,4597365,2430345
294,1925709,4479678,2445614
295,2031711,5001720,2390962
296,1939576,4437172,2448983
297,1932548,4613963,2504025
298,1972534,4397324,2469243
299,1946923,4361648,2487098
300,1909424,4372346,2451108
301,1894890,4395858,2540521
302,1987717,4527791,2520246
303,1980767,4455265,2527295
304,1963761,4545614,2473470
305,1964064,4499842,2474683
306,2132946,4815541,2465896
307,1945937,4384684,2487497
