Iteration,Payee1_ns,Payer_ns,Payee2_ns
0,2249128,5997961,3721760
1,2249551,5937605,3688593
2,2226304,5951164,3662462
3,2225699,5900690,3911269
4,2513248,6099205,3668375
5,2278577,6021674,3716930
6,2218943,5908518,3686400
7,2272598,5951213,3665980
8,2256684,6213235,3770499
9,2277116,6026072,3722045
10,2329033,6016476,3685811
11,2242775,6469412,3631269
12,2276595,5994667,3637981
13,2240997,5939033,3683979
14,2451522,6215646,3720287
15,2264464,6252465,3690546
16,2221340,6042060,3708587
17,2290847,6027129,4183118
18,2457212,5985128,3701916
19,2247294,6269544,3805959
20,2263178,6073396,3739795
21,2321799,6690186,3886912
22,2295368,6023996,3837110
23,2879426,6363081,3756162
24,2299714,6063962,3797071
25,2252176,5945553,3671571
26,2205366,5890656,3741242
27,2237556,5938247,3713186
28,2219254,6060782,3775855
29,2350789,6387792,3742435
30,2291700,5936964,3717239
31,2251538,5876653,3722825
32,2230075,6182567,3777969
33,2336506,6366312,3712836
34,2283631,6068503,3985773
35,2252823,5895848,3722154
36,2664366,6189287,3745687
37,2258920,6230348,3798114
38,2250069,5933915,3800571
39,2238673,5926875,3692072
40,2252500,6116719,3732218
41,2258788,5918181,3872572
42,2356619,5986902,3690753
43,2246215,5911764,3604893
44,2235898,5939953,3697686
45,2211228,5924638,4359674
46,2287505,6041568,3641969
47,2304700,6506049,3815288
48,2248827,5973626,3978380
49,2510508,6208250,3824797
50,2311459,6076382,3847426
51,2382867,6447590,3753791
52,2249976,5968518,3664066
53,2240479,5916757,3610274
54,2333446,6330136,3707688
55,2224505,5910221,3687319
56,2218146,5908756,3682121
57,2275461,6016750,3743348
58,2257956,6000910,3716119
59,2226673,5923292,3657679
60,2259521,5922238,3706128
61,2217285,5959033,3741178
62,2233636,6148732,3744566
63,2280538,6003794,3790335
64,2496632,5871622,3706955
65,2258519,6155999,3667278
66,2250560,5958872,3723025
67,2351269,6032448,3785144
68,2295245,6094846,3838261
69,2319248,6049176,3761990
70,2324192,5928737,3739580
71,2267972,5979120,3650853
72,2237053,6089451,3635729
73,2237330,5948333,3651253
74,2297125,5997902,3700680
75,2518870,6389905,3742417
76,2242791,6262855,3841306
77,2291675,6042435,3862958
78,2513732,5913030,3694055
79,2273016,5934909,3621022
80,2282332,5902777,3709694
81,2273350,6460408,4138562
82,2629792,6077243,3709365
83,2299620,6196554,3742692
84,2255388,6097906,3708771
85,2302179,6024119,3798522
86,2305817,6234160,3733065
87,2290181,6343044,3922804
88,2227054,5858283,3979401
89,2495715,5977954,3682867
90,2220402,6280849,3848397
91,2220725,5969346,3689341
92,2251507,6022205,3675193
93,2237679,5929013,3690112
94,2262606,5950181,3715610
95,2292676,6065040,4030921
96,2612911,5980783,3734405
97,2265883,6670408,3661108
98,2271709,6130058,4046724
99,2253564,5946318,3674867
100,2533244,6044998,3665930
101,2269484,6427129,3646253
102,2246942,5917274,3804148
103,2233732,5904062,3678766
104,2221895,5984858,3784185
105,2273154,5975799,3676603
106,2284174,5838806,3672876
107,2246160,5946431,3696790
108,2269850,6103474,3733946
109,2254012,5956573,3685303
110,2385449,6043874,3641518
111,2260331,6145987,3824102
112,2311742,6059187,3899135
113,2212577,5990611,3670869
114,2302207,6646704,3679980
115,2324379,6002274,3759499
116,2219894,5908730,3803942
117,2253889,6271340,4096824
118,2650029,6101066,3666026
119,2255566,6951920,4463361
120,2261461,5984198,3774520
121,2296144,6012721,3714823
122,2254057,5981544,3686441
123,2221237,5907569,3674416
124,2219257,5870559,3840049
125,2349598,5919168,3682526
126,2243638,6010551,3663953
127,2269652,6049302,3690873
128,2269292,5938474,3739427
129,2256975,6023702,3695244
130,2275076,6041142,4087325
131,2215441,5981617,3701540
132,2233904,6657979,3785416
133,2260449,6401203,3787787
134,2518310,6083970,4240321
135,2278916,6130174,3729218
136,2255741,5967365,3691093
137,2173177,5911091,3786144
138,2287712,5963079,3668561
