Iteration,Payee1_ns,Bank1_ns,Payee2_ns,Bank2_ns,Payee3_ns
0,1920024,9027158,666040,653116,483864
1,1934428,8757804,703647,777267,448698
2,1920991,9583730,674506,762180,553896
3,1992080,8423866,652161,637184,462554
4,2014581,8099142,661683,665323,506479
5,1962126,8400970,651403,649573,460710
6,1902081,7943558,641225,643762,471420
7,1919235,7836359,639895,638044,460408
8,2029438,8167551,1120340,678145,457659
9,1985287,7874316,641234,672117,463134
10,1940351,14249555,668057,659373,460824
11,1897671,8452032,637671,639621,519806
12,1935916,7805469,675651,654614,467826
13,1937757,9094746,642496,640300,461089
14,1906276,8055835,637695,645625,456778
15,1911112,8144371,646863,642164,459672
16,1929244,7889725,653814,675618,462091
17,1987893,8808525,668601,675789,466301
18,2065943,7892970,655766,655865,464539
19,1953518,8191442,647331,641809,478640
20,1936642,8105877,635971,642633,465111
21,1913699,7880466,659295,655481,462372
22,1950060,7957227,662949,668498,485485
23,1984940,9818882,651433,659281,466735
24,1942674,8077524,688537,673285,463028
25,1937526,8030717,639970,646166,462353
26,1906906,7939112,637965,635713,498473
27,1961134,7865301,644089,693043,462721
28,1953237,8016973,643447,687630,455505
29,1929663,8001894,640982,637362,476688
30,1890472,8436491,644419,662564,460296
31,1920158,8183939,635020,645622,467917
32,2073285,8229314,626910,683561,463145
33,1900243,8165920,638720,669245,443966
34,1926007,8929639,651855,644734,466091
35,1905878,8176985,640662,656857,458807
36,1959396,8391256,642706,667152,447631
37,1957074,7793026,662252,669995,467979
38,1916665,7808613,635148,643539,463484
39,1930670,7889091,647956,638487,456791
40,1937779,8137405,708950,662723,452078
41,1945339,8306069,639388,651769,458961
42,1896767,7844301,658320,628827,463453
43,1941506,7698179,634414,641203,471478
44,1966597,8027531,634630,636316,471304
45,1913967,8222777,645603,635464,457372
46,1881937,7994522,646736,637169,455646
47,1886562,8362541,812783,791789,526416
48,2032363,9121608,662771,766505,468782
49,1927641,8516853,1469793,734768,449546
50,1915257,8169821,662563,657963,463693
51,1940120,8365460,846366,773921,452515
52,2017231,8691781,668567,650655,459516
53,1936696,8608343,670413,667973,477960
54,1983444,8136435,650994,732548,470449
55,1948207,8333435,663488,662355,464566
56,1970124,8798280,1448530,682851,453834
57,1925072,8566873,657817,649749,463898
58,1925993,8515351,652104,643606,463529
59,1929927,8211445,662704,653113,471760
60,1911996,8689839,1457353,760946,484400
61,1936605,9070388,655996,641610,467575
62,2119220,9046179,647859,628069,465026
63,1952453,8839173,654100,682042,454341
64,1983592,8667618,1492763,753029,443973
65,2091810,8835851,948264,657354,460145
66,1944815,10637283,644433,643063,461357
67,1950679,8894487,680608,685151,475177
68,2041534,9652337,1484941,701232,442097
69,1909809,8859402,668661,657591,471409
70,1958169,8946765,731127,737984,483079
71,2247068,8682943,667724,648004,465707
72,1959461,8668821,659319,643146,459761
73,1927987,8487577,648600,633300,457927
74,1955669,8471692,752149,642009,483354
75,1964470,8501922,1481818,769041,459001
76,1919654,8180746,675103,666106,470589
77,2167154,8625210,657795,637319,458412
78,1955916,9025969,668910,653053,467307
79,2011492,8578271,680227,653984,490401
80,1908417,9799538,645885,646368,468363
81,1945941,8138703,658369,650897,481783
82,2262123,8509073,979793,645921,444046
83,1917410,8992733,672874,656091,474868
84,1957093,9014352,1553367,771578,491224
85,2190380,9638806,1224508,693300,558345
86,2040852,10377245,672669,682776,525023
87,1962815,8579921,675803,696895,510158
88,1977425,9002994,647843,652079,457026
89,1963427,9060398,672774,649545,465587
90,1932108,8794681,668927,687305,466275
91,2012538,9230456,705017,660018,455754
92,1922103,8624112,656083,641906,478310
93,1945710,8664311,677741,717441,472038
94,1951033,8547685,650153,641196,465083
95,1953546,8547863,652163,664858,464179
96,1911405,8223541,675912,648141,464358
97,1981580,8384588,651418,651829,467436
98,1958273,8313927,674980,638613,469373
99,1935421,8629930,666908,653126,461784
100,1959929,8665258,707575,653972,450557
101,1955875,8558153,678553,666627,457479
102,1904969,9483561,1472730,884767,482339
103,2215287,8477026,636541,697313,455155
104,1974023,8911062,665983,667776,471402
105,1950545,10151863,651795,636869,463846
106,1918862,8463919,864589,657570,478021
107,1978030,8264964,667866,645207,467898
108,1948260,8503337,921283,648139,457671
109,1906958,8388716,627339,644793,460690
110,1930910,8129991,659079,657722,465977
111,1937124,8087791,657007,655408,475694
112,1965211,8397762,670155,721924,460213
113,1958019,8510594,647707,640805,466925
114,1910297,9631642,1466906,746604,452591
115,1972376,8739428,911019,717428,450860
116,1916499,8673309,659966,641833,459724
117,1921980,9111375,651282,645881,540991
118,2026199,8380727,645246,642414,460834
119,1965394,8203284,666964,710990,514010
120,1973555,8659555,640113,633433,460879
121,1977992,8393254,1523437,732175,455528
122,1947377,8314731,657956,652926,463462
123,2055168,8450846,697906,657445,483112
124,1929491,8458151,661148,712598,613240
125,1939229,8334149,686230,659165,463503
126,1964512,8108620,666355,778885,455430
127,1949684,8466848,636230,634764,463822
128,1945379,9248820,636370,648700,463390
129,1927054,8314103,654273,651196,465199
130,1899619,8732137,822589,709392,487811
131,1964547,7875901,646773,649283,473064
132,2267495,8334301,651548,669066,465637
133,1918485,8194911,640726,656530,466588
134,1922559,8440037,656374,645645,466331
135,1901583,7922070,657944,648649,472694
136,2290038,8243333,647578,648074,542657
137,1960530,8277087,656238,707473,460248
138,1912076,8156094,694639,671001,464162
139,1963330,8258877,654028,850192,488618
140,1949705,8231715,657159,648973,465594
141,1963414,7930122,668661,669080,464554
142,2032968,8354798,665513,661119,459365
143,1887800,7934842,834635,742281,511513
144,1981977,8147582,638845,643451,461950
145,1873651,8244968,639124,659648,465240
146,1919242,8209573,639806,644925,526163
147,1997119,7905242,658648,643397,447302
148,1960757,8228691,623850,634984,463107
149,1940408,8034275,678412,662084,460677
150,1911621,9243448,644342,643947,462993
151,1935252,8277831,710640,688336,494311
152,2122682,8476818,714335,694694,495377
153,1929483,8344236,645896,631152,458650
154,1937904,8035647,645966,636548,465420
155,1911073,8209135,639488,633421,460440
156,1909303,8120872,630770,648902,462396
157,1950083,8190146,689756,723552,478321
158,1941393,8651948,650856,642289,461614
159,1949249,11713429,659171,665206,462524
160,1939208,9899048,663051,638970,523319
161,2366956,10198408,658105,646658,471396
162,1920032,8172540,644970,639715,463321
163,1989726,8027798,640694,650112,492079
164,1947475,8136693,658041,652323,473919
165,1917465,8080279,670124,658382,463238
166,1913033,8840546,690544,841094,525635
167,1960895,7924490,645613,651255,464768
168,1979380,8204795,645518,722903,591643
169,1924726,8101937,646368,634338,461864
170,1925355,8034522,651816,631555,462608
171,1952798,8675091,644760,635048,464198
172,2014374,8058544,656197,674091,458189
173,1936624,7807955,647699,655226,494941
174,1928958,7848545,668315,649617,461905
175,1944017,7985792,645975,638013,458816
176,1963418,8820924,653144,650813,468106
177,1942281,8116740,703398,682313,454016
178,1886354,7906390,637095,639378,463337
179,1932651,8220806,657281,704806,469153
180,1968648,8138748,646905,640163,459434
181,1898095,8121037,670718,651219,462694
182,1906138,7963395,637317,652021,464649
183,2101683,8158881,638099,640045,457011
184,2018853,8618773,645273,677402,470213
185,1957602,8053467,679991,688337,449739
186,1900184,8058421,645660,637754,478878
187,1926317,9375255,794079,664176,462443
188,1946458,7928711,637388,659740,468939
189,2067012,8007981,650157,671784,470543
190,1953553,14775492,653690,656367,462233
191,1948899,8220989,795528,652658,456698
192,1948395,9370656,674305,650197,462915
193,1935223,9027141,673037,642613,465155
194,1979959,20072132,674095,663925,464779
195,1895137,8504829,648969,652035,477227
196,2114496,8230950,675383,659501,469042
197,1929134,8131495,667053,666229,475239
198,1926566,7858891,652441,650792,463732
199,1951187,7962661,644052,753674,468208
200,1927388,8205097,644669,654832,473563
201,1912864,18386150,644839,639836,462623
202,1967562,8000501,678638,666390,449446
203,1922107,7919692,643448,643235,464262
204,1947840,7956653,651263,646724,479469
205,1981025,7925057,660710,656280,463595
206,1930604,8042031,658888,652249,467009
207,1915911,8043969,1499356,747942,468918
208,1961854,8627375,658666,664608,470666
209,2009057,8523332,663442,712971,474298
210,1958591,8079246,659466,638213,457956
211,1896818,7920196,635575,639414,460468
212,1922811,8214951,657679,670283,472454
213,1919888,7868474,654337,651061,480592
214,2884885,9139433,691014,647288,469448
215,1914619,8282651,650823,649665,472823
216,1965196,7995549,651288,655553,462031
217,2238324,8126447,632096,637926,465835
218,1906473,8408112,644576,657329,465678
219,1944917,8221464,647531,630386,461390
220,1978075,8075240,658910,648119,479211
221,1883335,14700184,670070,638036,580928
222,1984189,8157316,659145,661703,460894
223,2376300,8061020,647989,652319,471153
224,1929203,8299566,656630,645481,456859
225,1949590,8242030,650372,659588,475333
226,1961192,8344636,659943,656159,463859
227,1956591,8145773,651383,645897,471756
228,1924481,8254221,652679,658416,463255
229,1949073,8303739,655100,669723,467803
230,1925883,8094828,673223,667662,479988
231,2104346,9222534,653563,643334,465101
232,1963011,8328540,651651,687103,455148
233,2349785,10020732,673943,659961,457277
234,2117816,8380666,675164,688817,461685
235,1919247,8095442,638498,657321,468666
236,1964421,11666862,641990,640830,469878
237,1957523,8222853,655621,689512,525739
238,1940363,8114526,670816,642583,478191
239,1914009,8103685,659671,654935,470215
240,1938196,7934733,644875,651660,456383
241,2171290,8113434,635667,643017,462122
242,1960710,8160282,660388,687601,480176
243,1971987,8296921,677196,674240,473026
244,1896412,8205394,646673,648454,567053
245,2179361,8156199,656621,680345,452411
246,2217405,8276525,659990,654289,453379
247,1978183,8316560,666258,667689,514475
248,1957480,8199104,797982,796944,464431
249,2339597,8355116,644541,655084,463285
250,1932891,8375500,643054,654019,476674
251,1957746,8284648,654345,658547,452391
252,1979438,9233353,641200,641533,501289
253,1982106,7986891,651194,666817,468014
254,1978714,8097776,670953,727172,498830
255,1981196,8090330,766742,672167,468997
256,1978265,8401538,675611,659858,480996
257,1987850,7983689,706705,672447,461084
258,1971325,8334864,657524,666904,467120
259,1939326,9777021,673076,642045,477953
260,1895186,8369126,672794,651409,474522
261,1995822,8081838,749563,738547,472013
262,1975970,8466324,685119,658934,465268
263,2053167,8368525,636403,648297,467681
264,1960551,8528911,658990,651999,467797
265,1965410,8209003,769905,702591,488582
266,1951854,7932284,647622,631360,463180
267,2084324,8089447,634502,663225,470194
268,1944113,11451199,642511,638627,469721
269,2132143,8361329,677892,676620,470392
270,1936680,8098419,752996,690833,464925
271,1960232,8982830,647935,645656,638487
272,2041650,8148606,642849,641597,461582
273,1921373,8347476,652505,773328,464437
274,1945629,8129289,648709,644905,462713
275,1924400,7870735,658931,763810,579275
276,1991013,8237776,649313,641810,463134
277,1936080,8075934,648579,630188,457205
278,1906946,8154655,661284,644581,528855
279,1953889,7939792,723057,819629,498790
280,2015944,8198627,648775,656285,464019
281,2022369,8407941,647975,636058,466635
282,1944780,8340950,656810,656577,469148
283,1924964,7976935,654517,752196,463664
284,1958927,8271713,714716,660027,458101
285,1902538,8406211,672814,669400,469388
286,1951342,8461585,633141,627715,464820
287,1959014,8107241,747894,656037,447792
288,1952505,8044742,644071,685614,469160
289,2114252,9268287,629288,633878,461813
290,1908231,13790661,648824,658168,489848
291,1957169,8078040,643703,657286,463390
292,2019438,8164639,649834,650935,459733
293,1921063,8224889,650059,1029296,465418
294,1968155,8216946,647014,642188,460450
295,1987929,9052584,658772,671479,462555
296,1938037,8554002,653140,646508,468044
297,1903175,7975839,772616,725999,450273
298,1906598,8098775,646029,666337,464872
299,1899802,8142493,624408,639059,462381
300,1958158,8704627,651615,684561,449197
301,1923270,8530824,735690,1024519,463351
302,3155348,10089946,837969,646366,449663
303,2082647,7909576,622218,683772,465780
304,2107804,8087767,641446,661845,471179
305,1913994,8437569,655033,637132,450472
306,1896477,8288184,665992,655975,456596
307,1922838,7923290,762589,712517,461057
308,2181258,8212854,657656,673641,473482
309,2049153,8392207,641201,651489,470522
310,1925957,11331191,646453,649163,476991
311,1974352,8182326,644542,678031,506489
312,1983486,8255658,643479,642731,464700
313,1989530,8359931,1533114,694210,456834
314,1911139,8286358,645140,640908,597568
315,2129345,8341314,642261,644723,464486
316,1949410,8071065,852112,788973,490195
317,1933193,7935354,658488,658082,480058
318,1924134,8381608,645031,642023,464676
319,1977550,8209012,840316,654414,455987
320,1952406,8192703,731860,807833,476186
321,2414884,10875281,762569,645566,462602
322,2075266,8195201,643750,643711,464287
323,1926161,8411264,646622,640834,465975
