Iteration,Payee1_ns,Bank1_ns,Payee2_ns,Bank2_ns,Payee3_ns,Bank3_ns
0,2546938,6234226,631826,642810,723308,7406728
1,2556151,6368255,626233,746325,734510,4949178
2,2506153,6727653,633895,691021,731287,5800901
3,3595384,6493999,685293,669645,749751,5057401
4,2644762,6294291,649521,656479,728229,5277460
5,2581997,6317998,623892,625866,717130,4857735
6,2532090,6361186,625557,627371,778261,4769772
7,2523527,6308593,627706,640371,710232,4765728
8,2609144,6285876,637153,633961,713558,4657673
9,2566216,6255414,627088,644083,747137,4669838
10,2583903,6333787,612100,634311,718281,4563484
11,2620671,6301626,678966,648605,706591,4696618
12,2545961,6682578,633031,637297,728874,7873024
13,2566971,6244278,619032,622595,714241,4556602
14,2992412,6343355,647962,642645,722520,4994273
15,3479545,6393033,615387,678001,722180,4815336
16,2504675,6384399,629348,689590,721829,5113661
17,2599497,6225085,603733,638260,714755,5007383
18,2520668,6226935,601696,641530,722908,4635533
19,2539265,6156095,646503,658230,723268,4835251
20,2539957,6481902,622458,635718,710400,4641503
21,2535580,6246289,637871,635725,713490,4826333
22,2554841,6268801,610345,638881,714596,4637939
23,2604802,6193478,600738,637157,721807,4888106
24,2692375,6184720,605220,634148,740512,4858475
25,2527091,6312305,611965,631255,707974,4978617
26,2600513,6205061,622984,636669,822926,5018982
27,2555774,6223624,614649,632170,724912,5313259
28,2614169,6214254,617246,629560,744916,5031137
29,2609643,6204263,622543,763338,721307,4716594
30,2531359,6353662,627856,729509,739409,4931844
31,2576977,6308422,642618,659830,747821,4474658
32,2533617,6372929,645158,955743,1121012,6707270
33,2681157,6615906,631808,642522,706448,4619116
34,2817563,6615931,635183,664912,740050,4708812
35,2620743,6450878,642531,639662,716434,4858948
36,2670947,6413105,629345,654931,742450,4677644
37,2554584,6303827,640337,660485,722923,4639944
38,2563903,6916937,627026,642790,724631,4562172
39,2613175,6668756,617286,643102,761076,4749323
40,2534446,6513969,619749,622206,702866,4524935
41,2509358,6577392,634967,660984,706439,4585227
42,2705966,6687777,655986,634554,723478,4628867
43,2815703,6301298,628003,632388,716728,4622740
44,2848890,6150564,617007,664090,698418,4715524
45,2704875,6282683,631404,641856,719695,4607796
46,2718933,6209408,606233,627828,737711,4736553
47,2594223,6202783,627253,641527,733727,4534457
48,2706279,6342332,616675,642944,754139,5082364
49,3248724,6435001,643843,629277,698592,5017965
50,2632221,6551925,643903,641564,732453,4854271
51,2721409,6277159,622088,673452,744098,4595182
52,2512842,6315479,618397,636256,706750,4959639
53,2550902,6191169,625340,661749,725772,4681440
54,2567422,6289466,608259,642081,716764,4843674
55,2547742,6239647,634487,637917,709548,4858901
56,2597531,6251821,605088,631148,717032,4642190
57,2543693,6204187,613793,640379,736408,4805684
58,2588203,6205023,622818,650619,726992,4763373
59,2597527,6355712,672875,667561,718293,4721961
60,2582407,6420778,624118,653287,753875,5392083
61,2528270,6237598,626767,648571,722195,4749501
62,2592391,6294906,623185,635161,737112,5045659
63,2607005,6380919,609558,631065,729103,5022049
64,2733004,6265388,628683,651452,725591,4747925
65,2584462,6351891,617628,638000,735315,5094901
66,2506142,6242095,767165,661118,785991,5160947
67,2621325,6228426,656069,656683,725676,4897692
68,2588155,6329965,628788,673826,715605,4672435
69,2523075,6296134,627003,660967,720270,4627418
70,2513431,6219546,641409,645436,734511,4587382
71,2550007,6349955,664934,795066,748714,4634198
72,2536088,6471068,766897,708567,744515,4540016
73,2552877,6476047,628634,636312,731472,4681989
74,2503903,6588341,700830,685932,728153,4784532
75,2582430,6858243,612948,646164,717247,4847795
76,2587637,6636838,618392,630900,721366,4999578
77,2559881,6269400,620925,628200,730818,4980038
78,2707287,6583696,632717,649529,724375,5293634
79,2553858,6633181,620679,634561,734003,5155163
80,2596412,6371033,630044,632595,724951,5011312
81,2535878,6699911,646910,635480,723168,4979624
82,2565235,6263077,628934,646452,751655,4912416
83,2909129,6505360,609271,625914,723589,5466705
84,2544088,6218688,612563,636010,716876,5245306
85,2735605,6264397,615572,656080,735471,5239805
86,3476278,6247734,615460,638701,701340,5193550
87,3472449,6436501,647560,625264,716189,4977628
88,2522745,6246518,626457,642937,723485,5207674
89,2589833,6297551,618129,638752,770901,5435885
90,2593224,6373643,796182,673073,713548,4942628
91,2582058,6449084,676943,769123,785936,4994324
92,2580820,6242205,641520,650980,748759,5034478
93,2738031,6250609,633374,652340,727591,5216600
94,2530901,6321285,618601,634746,797533,4943435
95,2562007,6213295,739588,673160,768274,5019607
96,2570193,6359314,650619,646699,709336,5075065
97,2578224,6707801,618497,639376,717042,4930056
98,2546699,6712772,629793,637317,777253,6698565
99,2535149,6275867,644137,632902,722094,4836555
100,2839276,6303702,627879,634558,726176,4661465
101,2661858,6242543,620411,633482,744107,4785357
102,2724346,6407469,628460,641876,721168,5196844
103,2846199,6169899,650883,639811,747572,4853637
104,2556915,6412332,632720,631332,709708,19612254
105,2771869,6334284,623021,650792,713524,5038348
106,2520023,6282792,614370,631937,723606,4904780
107,2871801,6321616,602486,659436,747402,5103871
108,2724908,6219660,633211,650077,736152,5328057
109,2688777,6224254,614633,646595,718429,13220313
110,2552184,6260204,622430,631633,727973,4870494
111,2530725,6811472,631328,657246,719377,4876369
112,2790815,6335230,630087,634645,751414,4698545
113,2938551,6462276,617725,646808,708912,4921902
114,2851937,6392428,610354,672211,716791,5096244
115,2571517,6269949,625148,650814,733382,4744472
116,2972352,6223431,609600,660386,733785,4905660
117,2903072,6358539,614030,643609,728669,5268986
118,2571670,6300083,631906,642111,734000,5221110
119,2549703,6401606,656943,697292,742620,4766730
120,2556006,6179143,622714,635699,726041,4830967
121,2534602,6260921,623704,640649,710162,4978584
122,3488460,9085754,743818,816462,716648,4926244
123,2562036,6302862,614268,732857,720840,4715271
124,2543147,6188465,812022,662093,760274,4607963
125,2632819,6266696,616495,630303,735138,4841420
126,2558323,6456329,630167,654102,745364,4701926
127,2550283,6488308,694505,749333,712344,4776982
128,2509022,6613637,623138,635015,722258,4571662
129,2600457,6285733,619547,628684,733579,4766608
130,2601175,6196822,608451,651680,715443,4577830
131,2581204,6239191,611927,642388,712831,4618310
132,2563972,6157583,613187,633390,716654,4765628
133,2539807,6221316,627038,641916,719023,4789079
134,2545443,6217840,634584,640957,716627,4852971
135,2540519,6273090,630582,627724,719614,5049392
136,2525883,6625535,656125,642331,722066,4937960
137,2565311,6385200,616875,627753,724273,4823778
138,2525841,6216701,610958,643071,719297,4635500
139,2633375,6199607,623692,629733,715265,4526358
140,2560090,6291019,615446,668628,708047,4587786
141,2566309,6266559,622000,643350,716527,4705135
142,2709756,6288516,634664,644065,728766,4595165
143,2613972,6211580,629642,645733,758861,4950012
144,2600770,6269195,618433,643494,714283,4841496
145,2539218,6090703,639879,661781,742138,5494068
146,2544951,6301614,615316,672128,767190,4646663
147,2495649,6138903,618891,623821,719161,4847550
148,2574748,6241470,615283,636839,732834,4773929
149,2514243,6559453,630372,650206,719690,4606669
150,2514124,6288579,626399,660232,731464,4693166
151,2548725,6161954,607133,638024,734509,4527401
152,2570110,6287547,641185,680295,712115,4498422
153,2517147,6211783,628339,654699,708331,5758753
154,2735279,6302799,621331,636952,713509,4875265
155,2510475,6236094,618647,626096,712108,4805778
156,2577214,6236188,623177,676042,728333,4969917
157,2607249,6153832,615813,648895,741025,4529311
158,2657522,6332217,613698,629811,740403,4964070
159,2584165,6189013,692811,680172,721872,4777905
160,2573969,6295067,627629,642642,712622,6506956
161,2593280,6440472,632526,654443,710659,4713702
162,2586636,6375346,617267,666822,788983,4653793
163,2526558,6279336,660386,651588,717525,4691729
164,2485816,6289671,672255,633110,723354,4832395
165,2565527,6254287,616699,628126,718844,4489734
166,2633980,6482468,613839,643108,717288,4765215
167,2683826,6247139,620460,644651,725067,5052174
168,2559629,6335831,613117,628288,719311,8267073
169,2552032,6324944,615920,643078,719586,4572599
170,2564443,6236649,630565,633538,715896,4630568
171,2543421,6272024,629302,637904,722218,4708062
172,2588469,6527972,627596,633413,725850,4603776
173,2498335,6355240,607669,625764,720723,4753455
174,2690890,6219839,651064,658290,707907,4730824
175,2637939,6146818,593147,631324,712478,4879628
176,2662139,6214153,623820,636363,717425,4765428
177,2620000,6207494,665298,636587,706814,4816145
178,2544267,6265004,619053,634915,707491,5073286
179,2585990,6201653,615590,628366,711720,4988398
180,2559115,6185203,610372,631539,710031,4820102
181,2594371,6166047,614589,630206,836968,4585602
182,2609322,6170499,623290,707504,729098,5171902
183,2597444,6322734,626743,637340,728709,4853768
184,2528129,6346815,630324,655865,728273,4875450
185,2556658,6416563,629678,652109,731790,4663008
186,2633045,6347347,631050,627037,713103,4863149
187,2569877,6321175,600086,633431,735813,4716599
