Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
0,367259,386958,458823
1,359097,380820,454131
2,373976,397939,466252
3,353036,384253,469992
4,359400,377075,459079
5,532487,528367,456731
6,404937,405898,470056
7,397251,459411,526142
8,379316,399998,463404
9,357905,379374,458392
10,349435,423032,451829
11,343821,376462,472184
12,390312,386882,452478
13,353445,389100,468713
14,355994,388837,475348
15,349403,377318,452335
16,375419,401805,459258
17,348179,384087,469431
18,353345,386958,461858
19,348778,389805,450488
20,353908,412417,465637
21,354107,383374,458974
22,352032,389301,449462
23,349689,383417,473240
24,362847,388918,455726
25,357892,373612,449746
26,352018,386272,470843
27,368863,395905,463259
28,364486,398301,460822
29,388338,398046,465975
30,355597,395537,455925
31,352683,379277,450229
32,354072,377310,454088
33,344620,376953,469174
34,351931,413120,471563
35,348785,388057,456150
36,358050,397914,488776
37,363921,390312,461795
38,354763,390373,454635
39,360091,379771,466631
40,355700,393882,459880
41,362371,407097,465121
42,354650,381213,463769
43,357855,381507,449998
44,352424,392252,472655
45,375486,396822,471966
46,352171,382996,454294
47,353663,384000,458044
48,348354,382230,472032
49,360069,390015,464326
50,353482,385760,463741
51,358163,392231,462633
52,354142,382163,475828
53,360123,399051,466370
54,386982,377560,454010
55,357045,393985,465994
56,363348,388254,459238
57,364685,378085,466034
58,381099,385548,469984
59,352761,378248,455603
60,356697,383569,459398
61,357047,389610,478247
62,349466,378786,464991
63,362726,403652,461150
64,364765,397624,470369
65,353433,380867,470714
66,355519,383357,451497
67,368944,386677,468280
68,353848,382397,461143
69,368237,385329,457026
70,347065,391067,460541
71,365758,383826,460750
72,358000,391140,450746
73,357878,384850,467867
74,349191,381467,453986
75,358381,383970,463100
76,347797,387199,449569
77,355529,379148,462943
78,361664,384856,457319
79,354376,390367,457442
80,354521,388683,454702
81,355339,388710,464368
82,379820,372864,480909
83,348818,400055,463573
84,354481,388092,449311
85,344956,381324,471499
86,353995,378747,448157
87,354312,380163,457769
88,350889,380172,455442
89,341291,398984,459429
90,358836,399808,476920
91,352594,382366,466421
92,359380,382308,451396
93,345562,389856,455267
94,353418,386516,455940
95,355203,382635,456976
96,354493,382550,463927
97,365721,395145,459361
98,366975,390600,461671
99,357393,379546,470965
100,356106,377544,458581
101,353429,372631,445924
102,355593,378762,461637
103,359561,377090,453211
104,355665,432959,466500
105,355729,384947,474901
106,359616,429191,470835
107,363219,378691,455431
