Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
0,374922,404527,485250
1,356348,575946,476293
2,421058,524835,477969
3,356045,384151,501333
4,354673,390809,456835
5,376881,455174,469638
6,356315,398197,472416
7,369632,409007,475139
8,372059,391754,457335
9,356815,382756,463917
10,350911,385145,470545
11,356110,390650,478094
12,360348,392147,463726
13,356202,381996,506121
14,349417,484424,457092
15,389121,514896,466116
16,383378,381002,509263
17,386716,423379,484008
18,358805,392386,454886
19,360096,375008,466885
20,354747,392813,476992
21,358132,379008,467661
22,347642,380556,462242
23,352124,395578,458390
24,354877,406005,457573
25,352721,378434,507296
26,355860,392756,457999
27,443741,438612,458212
28,399641,514512,529562
29,362254,382440,481701
30,357273,374852,473522
31,353918,404741,468106
32,370660,389231,458497
33,355305,380803,462626
34,373594,400169,470584
35,360694,398135,463645
36,362998,390525,476661
37,363208,388413,463643
38,358415,385131,464383
39,356271,384618,450573
40,362055,435315,466182
41,369514,385271,472619
42,355670,390244,454276
43,350353,394393,460658
44,358297,396535,468548
45,350126,381195,455484
46,358353,402975,452935
47,362637,392993,467022
48,350516,392120,475404
49,362459,389177,465708
50,362839,392507,486895
51,347294,375688,450388
52,367525,453257,470313
53,365055,396861,467814
54,357300,390954,454283
55,362053,398367,462019
56,350735,391427,497047
57,350990,393663,455997
58,359567,395530,463040
59,353017,380142,459054
60,362838,384863,452030
61,351432,380988,473762
62,373475,403283,474220
63,372482,394496,475920
64,354342,392679,463650
65,377427,387087,463054
66,367515,383346,467180
67,357679,395622,457323
68,353087,387403,456355
69,366789,394221,468538
70,359335,389448,451398
71,347634,373623,453623
72,350086,379800,448719
73,358384,396649,456072
74,348652,390829,481793
75,364840,385573,468318
76,360952,391864,454310
77,353074,382810,467423
78,354697,391395,458049
79,349268,395342,452277
80,354036,394078,471565
81,361753,391841,459035
82,347120,391500,458339
83,354790,399902,465169
84,345189,375009,452620
85,346524,389291,455830
86,352868,398886,458153
87,354378,408977,464289
88,353540,387538,471185
89,357586,399000,464607
90,351158,386580,449879
91,345356,380655,456813
92,352470,378719,468924
93,356927,390213,458477
94,345582,380881,470370
95,358655,385639,454385
96,350463,388837,454067
97,356492,382691,455174
98,403807,384011,453573
99,355244,380223,466219
100,351629,384236,456517
101,354307,387106,464223
102,360513,388888,464327
103,358537,387418,459412
104,355793,385066,453150
105,346392,383106,462221
106,358022,391610,470644
107,365912,386646,459410
108,356201,388749,459574
109,346344,383892,459015
110,355480,385762,450739
111,362685,384521,468867
112,358699,383222,456585
113,349753,387429,454287
114,350071,377364,466260
115,351556,386853,461668
116,356124,376642,452460
117,348436,378987,471033
118,360293,386953,460916
119,359322,375810,464601
120,349824,390931,459164
121,354195,385805,454679
122,359567,380866,496433
123,357754,397249,473171
124,356989,394328,469294
125,350682,388338,458318
126,354907,387377,459659
127,353243,385028,479411
128,353699,379694,459962
129,353387,390692,456919
130,345647,378144,461755
131,353722,386839,463467
132,362562,386731,454947
133,350685,389415,468438
134,349970,378857,462025
135,351858,398446,465521
136,352879,378436,462245
137,351782,386595,452322
138,352095,398034,465525
139,354641,385521,477859
140,351379,386974,451960
141,353583,394261,462661
142,350296,383236,464757
143,359733,387952,471821
144,356312,390083,460752
145,356138,389532,461116
146,352156,464595,464421
147,351146,430722,543986
148,375242,393851,465893
149,368649,387021,462452
150,357885,409137,471221
151,355783,381476,458906
152,354807,399957,463444
153,359095,389694,469479
154,347838,394447,460942
155,372717,459871,508472
156,365077,400684,477689
157,367464,400421,463259
158,357637,390961,470108
159,359966,386716,471980
160,367249,407292,466606
161,349960,389465,469054
162,363214,381996,457116
163,362185,384007,485745
164,367167,390343,462174
165,373814,388119,458028
166,345635,384042,462154
167,350581,378501,453919
168,346876,391208,451543
169,355017,376547,451158
170,354136,408767,462781
171,354794,395409,449572
172,350766,391695,465825
173,353621,380756,453828
174,351162,400777,456765
175,364912,391182,464759
176,346912,389162,450708
177,344487,389738,457461
178,347761,383197,466964
179,349631,386108,460262
180,353927,386215,460426
181,358040,382221,475341
182,360627,392592,467046
183,370824,382064,447539
184,344099,389651,467303
185,354999,382957,467738
186,353919,451361,471667
187,475058,573083,607860
188,379711,436766,471200
189,359090,385879,478547
190,363954,396395,459668
191,359505,391041,454355
192,354627,384630,458773
193,365147,418997,463261
194,352806,400101,459083
195,354327,384113,468412
196,365122,401746,463817
197,400955,400909,467803
198,371434,395009,466977
199,355800,433711,464328
200,387365,394203,464991
201,357062,397625,464448
202,361419,398871,477943
203,367105,385130,458442
204,355504,405826,464531
205,355238,391441,467194
206,353950,384087,456447
207,352040,390351,449803
208,354383,380371,468126
209,354883,385171,455720
210,352655,394220,451184
211,344621,390380,450005
212,357268,382191,455808
213,364174,469049,557510
214,363454,393465,466475
215,354198,395116,455452
216,345471,386240,460089
217,355688,397569,456887
218,346670,390388,460507
219,350354,383872,472287
220,354845,386073,459744
221,364204,388507,450638
222,350102,378723,466882
223,348008,388413,454927
224,355121,396344,459657
225,360794,401024,486310
226,368502,392547,461316
227,373899,376028,453252
228,347785,384014,459913
229,355076,395852,453576
230,353562,374762,459639
231,403629,405001,465138
232,355371,401668,464880
233,359334,390813,473305
234,357658,388785,488172
235,369002,533873,471769
236,368933,386457,475813
237,353864,422732,464486
238,388961,572535,517359
239,377298,395151,524431
240,394097,414060,462778
241,367091,384790,468779
242,362073,386845,474651
243,362321,395975,458510
244,353941,399797,455525
245,361477,414519,460154
246,355995,392464,463059
247,353189,381419,583815
248,383463,401072,467254
249,359947,407085,489230
250,376384,418399,490971
251,370544,393382,477634
252,364191,387780,477531
253,377884,409191,452339
254,374291,395708,457539
255,351808,392863,459463
256,347698,403629,468453
257,353815,391853,455588
258,363916,386028,456375
259,350754,465066,473272
260,359650,386688,481746
261,387178,523288,464326
262,352127,380380,465768
263,347557,381703,462675
264,349778,447531,460906
265,367050,401950,470954
266,356021,387512,466789
267,357315,395467,456646
268,347648,396405,460261
269,352517,392765,475593
270,358403,385821,457850
271,356841,405270,482857
272,353444,394390,460771
273,361623,394237,449200
274,345950,381739,474633
275,363708,402565,466935
276,360226,379361,467030
277,357276,473557,501590
278,359381,389246,470298
279,355329,387654,456493
280,360806,408000,462386
281,354287,385899,462072
282,349893,388872,476711
283,366140,381040,472635
284,351818,388225,463747
285,353339,383679,498187
286,372226,383606,463063
287,353826,496773,483370
288,362172,389817,470978
289,360060,393879,462688
290,415338,482118,460312
291,352660,381275,460174
292,352252,396201,461027
293,362838,392641,519323
294,371660,400225,475279
295,359851,385346,477721
296,373631,396908,460575
297,365700,391294,459527
298,346467,382672,449478
299,358068,381561,461551
300,350851,389424,474183
301,356426,419988,499167
302,399790,390812,469277
303,439364,510699,479987
304,365983,399864,474456
305,352373,400762,461384
306,358999,398489,453995
307,357130,392513,465039
308,357677,388746,469386
309,381096,384114,477900
310,375966,385965,499789
311,361425,385027,455709
312,362968,388525,462967
313,357961,391604,473181
314,352696,396224,462504
315,358215,400375,460567
316,428385,496381,556508
317,400010,423232,514809
318,365142,387687,466847
319,421155,397994,477570
320,365912,394709,467383
321,353391,385432,471301
322,351847,390507,471123
323,353807,396756,472130
324,361717,387683,456714
325,374059,387948,458690
326,373025,385142,457344
327,365452,389442,468973
328,351839,392261,455633
329,353637,405139,473883
330,361783,385637,470631
331,360004,877019,549764
332,626266,395972,478515
333,376597,452034,480345
334,360252,398622,472518
335,357756,386869,478754
336,359844,402003,457615
337,357098,390578,454394
338,360184,389039,458067
339,350760,402887,473901
340,364987,397954,483668
341,481802,395734,534066
342,482887,446267,468396
343,363952,398123,458539
344,352454,384555,454419
345,364135,394032,460986
346,357017,394853,459719
347,348768,381053,478648
348,356369,391534,460441
349,353858,422975,477546
350,364421,386135,472184
351,355035,385653,457314
352,354284,399289,464205
353,354568,376227,458523
354,380995,387186,480603
355,369104,414543,457298
356,354516,389899,491280
357,362263,403458,473106
358,353583,397809,472137
359,368087,406862,474720
360,351512,381896,456626
361,358102,387384,457884
362,367261,393296,468741
363,356788,384065,469227
364,355199,391945,461403
365,350701,394192,469913
366,351129,386611,456636
367,357378,420102,846966
368,373219,418598,458382
369,375637,396174,477670
370,363803,387089,457215
371,355038,383993,474677
372,349790,394768,463819
373,360250,395413,462997
374,369607,387260,467036
375,351977,384039,478030
376,357949,391173,475991
377,362909,389647,461921
378,362006,388195,463430
379,352613,397338,608249
380,371925,437717,473135
381,361494,388083,469457
382,365865,398236,503138
383,368565,384513,479597
384,355378,401761,465073
385,360587,393393,460042
386,365895,388951,458737
387,372843,386116,462104
388,354256,391760,460622
389,353947,397105,462687
390,357346,384130,455035
391,358897,387542,553503
392,386893,397166,477328
393,385341,430219,469340
394,351605,381153,455752
395,351291,393379,457351
396,350573,408012,456269
